Overriding config with config/train_shakespeare_char.py:
# train a miniature character-level shakespeare model
# good for debugging and playing on macbooks and such

out_dir = 'out-shakespeare-char'
eval_interval = 250 # keep frequent because we'll overfit
eval_iters = 200
log_interval = 10 # don't print too too often

# we expect to overfit on this small dataset, so only save when val improves
always_save_checkpoint = False

wandb_log = False # override via command line if you like
wandb_project = 'shakespeare-char'
wandb_run_name = 'mini-gpt'

dataset = 'shakespeare_char'
gradient_accumulation_steps = 1
batch_size = 64
block_size = 256 # context of up to 256 previous characters

# baby GPT model :)
n_layer = 6
n_head = 6
n_embd = 384
dropout = 0.2

learning_rate = 1e-3 # with baby networks can afford to go a bit higher
max_iters = 5000
lr_decay_iters = 5000 # make equal to max_iters usually
min_lr = 1e-4 # learning_rate / 10 usually
beta2 = 0.99 # make a bit bigger because number of tokens per iter is small

warmup_iters = 100 # not super necessary potentially

# on macbook also add
# device = 'cpu'  # run on cpu only
# compile = False # do not torch compile the model

Overriding: device = cpu
Overriding: compile = False
Overriding: eval_iters = 20
Overriding: log_interval = 1
Overriding: block_size = 64
Overriding: batch_size = 12
Overriding: dropout = 0.0
Overriding: optimizer = adam
Overriding: max_iters = 20000
Overriding: lr_decay_iters = 20000
tokens per iteration will be: 768
found vocab_size = 65 (inside data/shakespeare_char/meta.pkl)
Initializing a new model from scratch
number of parameters: 10.65M
num decayed parameter tensors: 26, with 10,666,368 parameters
num non-decayed parameter tensors: 13, with 4,992 parameters
step 0: train loss 4.3219, val loss 4.3089
iter 0: loss 4.3400, time 4423.48ms, mfu -100.00%
iter 1: loss 4.2206, time 364.62ms, mfu -100.00%
iter 2: loss 4.0470, time 346.68ms, mfu -100.00%
iter 3: loss 3.8422, time 365.66ms, mfu -100.00%
iter 4: loss 3.6871, time 343.07ms, mfu -100.00%
iter 5: loss 3.5828, time 314.10ms, mfu 0.05%
iter 6: loss 3.5277, time 319.67ms, mfu 0.05%
iter 7: loss 3.4210, time 344.51ms, mfu 0.05%
iter 8: loss 3.4291, time 357.20ms, mfu 0.05%
iter 9: loss 3.3042, time 326.92ms, mfu 0.05%
iter 10: loss 3.3673, time 395.49ms, mfu 0.05%
iter 11: loss 3.3911, time 353.35ms, mfu 0.05%
iter 12: loss 3.3001, time 391.57ms, mfu 0.05%
iter 13: loss 3.1926, time 324.51ms, mfu 0.05%
iter 14: loss 3.2359, time 315.56ms, mfu 0.05%
iter 15: loss 3.1569, time 336.99ms, mfu 0.05%
iter 16: loss 3.1001, time 351.44ms, mfu 0.05%
iter 17: loss 3.0468, time 351.23ms, mfu 0.05%
iter 18: loss 3.0147, time 357.85ms, mfu 0.05%
iter 19: loss 2.9323, time 359.12ms, mfu 0.05%
iter 20: loss 2.9235, time 321.20ms, mfu 0.05%
iter 21: loss 2.9340, time 390.49ms, mfu 0.05%
iter 22: loss 2.9457, time 364.07ms, mfu 0.05%
iter 23: loss 2.9446, time 413.23ms, mfu 0.05%
iter 24: loss 2.8387, time 328.51ms, mfu 0.05%
iter 25: loss 2.9638, time 371.42ms, mfu 0.05%
iter 26: loss 2.8380, time 319.22ms, mfu 0.05%
iter 27: loss 2.8578, time 372.45ms, mfu 0.05%
iter 28: loss 2.7957, time 349.09ms, mfu 0.05%
iter 29: loss 2.7482, time 350.91ms, mfu 0.05%
iter 30: loss 2.8215, time 339.27ms, mfu 0.05%
iter 31: loss 2.7933, time 357.17ms, mfu 0.05%
iter 32: loss 2.8410, time 311.11ms, mfu 0.05%
iter 33: loss 2.7786, time 324.96ms, mfu 0.05%
iter 34: loss 2.8596, time 327.45ms, mfu 0.05%
iter 35: loss 2.8125, time 341.38ms, mfu 0.05%
iter 36: loss 2.7559, time 332.64ms, mfu 0.05%
iter 37: loss 2.8222, time 310.98ms, mfu 0.05%
iter 38: loss 2.7272, time 329.88ms, mfu 0.05%
iter 39: loss 2.7794, time 363.13ms, mfu 0.05%
iter 40: loss 2.7341, time 335.04ms, mfu 0.05%
iter 41: loss 2.7831, time 385.50ms, mfu 0.05%
iter 42: loss 2.6869, time 319.96ms, mfu 0.05%
iter 43: loss 2.7717, time 346.66ms, mfu 0.05%
iter 44: loss 2.6877, time 334.89ms, mfu 0.05%
iter 45: loss 2.7325, time 287.67ms, mfu 0.05%
iter 46: loss 2.7135, time 344.47ms, mfu 0.05%
iter 47: loss 2.8170, time 360.92ms, mfu 0.05%
iter 48: loss 2.7188, time 345.46ms, mfu 0.05%
iter 49: loss 2.7773, time 343.52ms, mfu 0.05%
iter 50: loss 2.7602, time 402.84ms, mfu 0.05%
iter 51: loss 2.7877, time 312.90ms, mfu 0.05%
iter 52: loss 2.7439, time 357.88ms, mfu 0.05%
iter 53: loss 2.7210, time 344.75ms, mfu 0.05%
iter 54: loss 2.7914, time 393.23ms, mfu 0.05%
iter 55: loss 2.7759, time 356.66ms, mfu 0.05%
iter 56: loss 2.7813, time 339.39ms, mfu 0.05%
iter 57: loss 2.8030, time 379.36ms, mfu 0.05%
iter 58: loss 2.7529, time 355.23ms, mfu 0.05%
iter 59: loss 2.8270, time 362.31ms, mfu 0.05%
iter 60: loss 2.7642, time 346.51ms, mfu 0.05%
iter 61: loss 2.7398, time 400.34ms, mfu 0.05%
iter 62: loss 2.8076, time 337.39ms, mfu 0.05%
iter 63: loss 2.7423, time 358.47ms, mfu 0.05%
iter 64: loss 2.8420, time 306.17ms, mfu 0.05%
iter 65: loss 2.7275, time 313.37ms, mfu 0.05%
iter 66: loss 2.7818, time 348.93ms, mfu 0.05%
iter 67: loss 2.7298, time 357.82ms, mfu 0.05%
iter 68: loss 2.7712, time 357.26ms, mfu 0.05%
iter 69: loss 2.7825, time 340.30ms, mfu 0.05%
iter 70: loss 2.7723, time 344.86ms, mfu 0.05%
iter 71: loss 2.7895, time 352.23ms, mfu 0.05%
iter 72: loss 2.7396, time 339.06ms, mfu 0.05%
iter 73: loss 2.7286, time 383.47ms, mfu 0.05%
iter 74: loss 2.7609, time 328.40ms, mfu 0.05%
iter 75: loss 2.7443, time 392.21ms, mfu 0.05%
iter 76: loss 2.8147, time 332.28ms, mfu 0.05%
iter 77: loss 2.8269, time 391.54ms, mfu 0.05%
iter 78: loss 2.7821, time 362.45ms, mfu 0.05%
iter 79: loss 2.8691, time 371.63ms, mfu 0.05%
iter 80: loss 2.8651, time 382.13ms, mfu 0.05%
iter 81: loss 2.7805, time 313.77ms, mfu 0.05%
iter 82: loss 2.7990, time 360.57ms, mfu 0.05%
iter 83: loss 2.8018, time 356.01ms, mfu 0.05%
iter 84: loss 2.6724, time 371.83ms, mfu 0.05%
iter 85: loss 2.8101, time 345.79ms, mfu 0.05%
iter 86: loss 2.7317, time 295.24ms, mfu 0.05%
iter 87: loss 2.7421, time 355.20ms, mfu 0.05%
iter 88: loss 2.7561, time 333.21ms, mfu 0.05%
iter 89: loss 2.8164, time 340.68ms, mfu 0.05%
iter 90: loss 2.8420, time 317.67ms, mfu 0.05%
iter 91: loss 2.8177, time 355.45ms, mfu 0.05%
iter 92: loss 2.7834, time 351.05ms, mfu 0.05%
iter 93: loss 2.8582, time 312.12ms, mfu 0.05%
iter 94: loss 2.8557, time 314.57ms, mfu 0.05%
iter 95: loss 2.8290, time 307.30ms, mfu 0.05%
iter 96: loss 2.8122, time 346.31ms, mfu 0.05%
iter 97: loss 2.7764, time 349.88ms, mfu 0.05%
iter 98: loss 2.8708, time 351.84ms, mfu 0.05%
iter 99: loss 2.8310, time 333.13ms, mfu 0.05%
iter 100: loss 2.8057, time 344.68ms, mfu 0.05%
iter 101: loss 2.7841, time 343.93ms, mfu 0.05%
iter 102: loss 2.7883, time 399.09ms, mfu 0.05%
iter 103: loss 2.9840, time 341.89ms, mfu 0.05%
iter 104: loss 2.8848, time 368.68ms, mfu 0.05%
iter 105: loss 2.9133, time 401.66ms, mfu 0.05%
iter 106: loss 2.7451, time 379.88ms, mfu 0.05%
iter 107: loss 2.8407, time 280.70ms, mfu 0.05%
iter 108: loss 2.8239, time 375.31ms, mfu 0.05%
iter 109: loss 2.9150, time 300.79ms, mfu 0.05%
iter 110: loss 2.8096, time 384.04ms, mfu 0.05%
iter 111: loss 2.7843, time 372.15ms, mfu 0.05%
iter 112: loss 2.8130, time 301.79ms, mfu 0.05%
iter 113: loss 2.7528, time 344.14ms, mfu 0.05%
iter 114: loss 2.7885, time 313.27ms, mfu 0.05%
iter 115: loss 2.7573, time 349.49ms, mfu 0.05%
iter 116: loss 2.8003, time 332.42ms, mfu 0.05%
iter 117: loss 2.8612, time 362.03ms, mfu 0.05%
iter 118: loss 2.7486, time 352.70ms, mfu 0.05%
iter 119: loss 2.8476, time 331.52ms, mfu 0.05%
iter 120: loss 2.7476, time 296.44ms, mfu 0.05%
iter 121: loss 2.7874, time 387.92ms, mfu 0.05%
iter 122: loss 2.7769, time 350.80ms, mfu 0.05%
iter 123: loss 2.7699, time 416.94ms, mfu 0.05%
iter 124: loss 2.8006, time 455.03ms, mfu 0.05%
iter 125: loss 2.7736, time 331.81ms, mfu 0.05%
iter 126: loss 2.6862, time 347.62ms, mfu 0.05%
iter 127: loss 2.6900, time 364.58ms, mfu 0.05%
iter 128: loss 2.8061, time 409.98ms, mfu 0.04%
