Overriding config with config/train_shakespeare_char.py:
# train a miniature character-level shakespeare model
# good for debugging and playing on macbooks and such

out_dir = 'out-shakespeare-char'
eval_interval = 250 # keep frequent because we'll overfit
eval_iters = 200
log_interval = 10 # don't print too too often

# we expect to overfit on this small dataset, so only save when val improves
always_save_checkpoint = False

wandb_log = False # override via command line if you like
wandb_project = 'shakespeare-char'
wandb_run_name = 'mini-gpt'

dataset = 'shakespeare_char'
gradient_accumulation_steps = 1
batch_size = 64
block_size = 256 # context of up to 256 previous characters

# baby GPT model :)
n_layer = 6
n_head = 6
n_embd = 384
dropout = 0.2

learning_rate = 1e-3 # with baby networks can afford to go a bit higher
max_iters = 5000
lr_decay_iters = 5000 # make equal to max_iters usually
min_lr = 1e-4 # learning_rate / 10 usually
beta2 = 0.99 # make a bit bigger because number of tokens per iter is small

warmup_iters = 100 # not super necessary potentially

# on macbook also add
# device = 'cpu'  # run on cpu only
# compile = False # do not torch compile the model

Overriding: device = cpu
Overriding: compile = False
Overriding: eval_iters = 20
Overriding: log_interval = 1
Overriding: block_size = 64
Overriding: batch_size = 12
Overriding: dropout = 0.0
Overriding: optimizer = adamw
Overriding: max_iters = 20000
Overriding: lr_decay_iters = 20000
tokens per iteration will be: 768
found vocab_size = 65 (inside data/shakespeare_char/meta.pkl)
Initializing a new model from scratch
number of parameters: 10.65M
num decayed parameter tensors: 26, with 10,666,368 parameters
num non-decayed parameter tensors: 13, with 4,992 parameters
using fused AdamW: False
step 0: train loss 4.3219, val loss 4.3089
iter 0: loss 4.3400, time 4418.09ms, mfu -100.00%
iter 1: loss 4.1206, time 349.57ms, mfu -100.00%
iter 2: loss 3.8542, time 337.52ms, mfu -100.00%
iter 3: loss 3.6414, time 390.63ms, mfu -100.00%
iter 4: loss 3.4983, time 321.68ms, mfu -100.00%
iter 5: loss 3.4223, time 318.20ms, mfu 0.05%
iter 6: loss 3.3902, time 359.73ms, mfu 0.05%
iter 7: loss 3.2640, time 283.13ms, mfu 0.05%
iter 8: loss 3.2899, time 332.46ms, mfu 0.05%
iter 9: loss 3.1231, time 363.10ms, mfu 0.05%
iter 10: loss 3.1693, time 298.91ms, mfu 0.05%
iter 11: loss 3.1253, time 335.41ms, mfu 0.05%
iter 12: loss 3.0400, time 313.27ms, mfu 0.05%
iter 13: loss 2.9327, time 314.61ms, mfu 0.05%
iter 14: loss 2.9626, time 305.38ms, mfu 0.05%
iter 15: loss 2.9606, time 323.11ms, mfu 0.05%
iter 16: loss 2.8884, time 365.93ms, mfu 0.05%
iter 17: loss 2.8786, time 327.36ms, mfu 0.05%
iter 18: loss 2.8271, time 327.06ms, mfu 0.05%
iter 19: loss 2.7538, time 325.32ms, mfu 0.05%
iter 20: loss 2.7628, time 325.01ms, mfu 0.05%
iter 21: loss 2.8292, time 300.42ms, mfu 0.05%
iter 22: loss 2.8053, time 354.68ms, mfu 0.05%
iter 23: loss 2.8324, time 305.29ms, mfu 0.05%
iter 24: loss 2.7421, time 350.20ms, mfu 0.05%
iter 25: loss 2.7964, time 318.14ms, mfu 0.05%
iter 26: loss 2.7225, time 349.07ms, mfu 0.05%
iter 27: loss 2.7182, time 327.91ms, mfu 0.05%
iter 28: loss 2.6873, time 368.89ms, mfu 0.05%
iter 29: loss 2.6446, time 360.70ms, mfu 0.05%
iter 30: loss 2.6992, time 333.93ms, mfu 0.05%
iter 31: loss 2.6884, time 329.82ms, mfu 0.05%
iter 32: loss 2.7020, time 376.82ms, mfu 0.05%
iter 33: loss 2.6494, time 312.15ms, mfu 0.05%
iter 34: loss 2.7642, time 339.77ms, mfu 0.05%
iter 35: loss 2.6816, time 360.06ms, mfu 0.05%
iter 36: loss 2.6330, time 377.15ms, mfu 0.05%
iter 37: loss 2.7293, time 379.83ms, mfu 0.05%
iter 38: loss 2.6167, time 367.90ms, mfu 0.05%
iter 39: loss 2.6847, time 357.87ms, mfu 0.05%
iter 40: loss 2.5929, time 363.77ms, mfu 0.05%
iter 41: loss 2.6609, time 335.64ms, mfu 0.05%
iter 42: loss 2.5371, time 381.78ms, mfu 0.05%
iter 43: loss 2.6808, time 351.43ms, mfu 0.05%
iter 44: loss 2.5588, time 319.12ms, mfu 0.05%
iter 45: loss 2.5893, time 358.35ms, mfu 0.05%
iter 46: loss 2.5414, time 317.94ms, mfu 0.05%
iter 47: loss 2.7078, time 432.21ms, mfu 0.05%
iter 48: loss 2.5674, time 298.17ms, mfu 0.05%
iter 49: loss 2.6277, time 297.40ms, mfu 0.05%
iter 50: loss 2.5748, time 317.25ms, mfu 0.05%
iter 51: loss 2.6087, time 327.80ms, mfu 0.05%
iter 52: loss 2.5993, time 345.40ms, mfu 0.05%
iter 53: loss 2.5504, time 371.45ms, mfu 0.05%
