Overriding config with config/train_shakespeare_char.py:
# train a miniature character-level shakespeare model
# good for debugging and playing on macbooks and such

out_dir = 'out-shakespeare-char'
eval_interval = 250 # keep frequent because we'll overfit
eval_iters = 200
log_interval = 10 # don't print too too often

# we expect to overfit on this small dataset, so only save when val improves
always_save_checkpoint = False

wandb_log = False # override via command line if you like
wandb_project = 'shakespeare-char'
wandb_run_name = 'mini-gpt'

dataset = 'shakespeare_char'
gradient_accumulation_steps = 1
batch_size = 64
block_size = 256 # context of up to 256 previous characters

# baby GPT model :)
n_layer = 6
n_head = 6
n_embd = 384
dropout = 0.2

learning_rate = 1e-3 # with baby networks can afford to go a bit higher
max_iters = 5000
lr_decay_iters = 5000 # make equal to max_iters usually
min_lr = 1e-4 # learning_rate / 10 usually
beta2 = 0.99 # make a bit bigger because number of tokens per iter is small

warmup_iters = 100 # not super necessary potentially

# on macbook also add
# device = 'cpu'  # run on cpu only
# compile = False # do not torch compile the model

Overriding: device = cpu
Overriding: compile = False
Overriding: eval_iters = 20
Overriding: log_interval = 1
Overriding: block_size = 64
Overriding: batch_size = 12
Overriding: dropout = 0.0
Overriding: optimizer = dimerAdam
Overriding: max_iters = 20000
Overriding: lr_decay_iters = 20000
tokens per iteration will be: 768
found vocab_size = 65 (inside data/shakespeare_char/meta.pkl)
Initializing a new model from scratch
number of parameters: 10.65M
step 0: train loss 4.3265, val loss 4.3090
iter 0: loss 4.2876, time 4663.48ms, mfu -100.00%
iter 1: loss 4.1179, time 484.96ms, mfu -100.00%
iter 2: loss 3.8506, time 503.77ms, mfu -100.00%
iter 3: loss 3.6473, time 434.30ms, mfu -100.00%
iter 4: loss 3.4355, time 473.96ms, mfu -100.00%
iter 5: loss 3.3791, time 469.51ms, mfu 0.03%
iter 6: loss 3.3405, time 520.26ms, mfu 0.03%
iter 7: loss 3.2805, time 488.20ms, mfu 0.03%
iter 8: loss 3.2926, time 468.41ms, mfu 0.03%
iter 9: loss 3.2365, time 682.47ms, mfu 0.03%
iter 10: loss 3.1511, time 406.18ms, mfu 0.03%
iter 11: loss 3.1231, time 489.61ms, mfu 0.03%
iter 12: loss 3.2516, time 454.19ms, mfu 0.03%
iter 13: loss 3.0196, time 487.17ms, mfu 0.03%
iter 14: loss 3.0210, time 444.86ms, mfu 0.03%
iter 15: loss 2.9742, time 444.37ms, mfu 0.03%
iter 16: loss 2.9396, time 483.42ms, mfu 0.03%
iter 17: loss 2.9576, time 509.36ms, mfu 0.03%
iter 18: loss 2.8385, time 439.22ms, mfu 0.03%
iter 19: loss 2.7925, time 653.22ms, mfu 0.03%
iter 20: loss 2.8625, time 469.12ms, mfu 0.03%
iter 21: loss 2.7555, time 502.90ms, mfu 0.03%
iter 22: loss 2.7887, time 485.40ms, mfu 0.03%
iter 23: loss 2.7089, time 458.51ms, mfu 0.03%
iter 24: loss 2.8103, time 443.87ms, mfu 0.03%
iter 25: loss 2.6022, time 459.32ms, mfu 0.03%
iter 26: loss 2.6341, time 432.19ms, mfu 0.03%
iter 27: loss 2.7003, time 511.88ms, mfu 0.03%
iter 28: loss 2.7405, time 435.42ms, mfu 0.03%
iter 29: loss 2.7394, time 751.71ms, mfu 0.03%
iter 30: loss 2.6810, time 476.90ms, mfu 0.03%
iter 31: loss 2.6447, time 500.92ms, mfu 0.03%
iter 32: loss 2.6283, time 482.32ms, mfu 0.03%
iter 33: loss 2.7119, time 492.27ms, mfu 0.03%
iter 34: loss 2.7057, time 480.78ms, mfu 0.03%
iter 35: loss 2.6362, time 446.73ms, mfu 0.03%
iter 36: loss 2.7026, time 489.08ms, mfu 0.03%
iter 37: loss 2.6225, time 457.86ms, mfu 0.03%
iter 38: loss 2.6963, time 466.94ms, mfu 0.03%
iter 39: loss 2.6127, time 740.85ms, mfu 0.03%
iter 40: loss 2.6169, time 451.56ms, mfu 0.03%
iter 41: loss 2.7000, time 452.82ms, mfu 0.03%
iter 42: loss 2.6615, time 438.52ms, mfu 0.03%
iter 43: loss 2.5986, time 420.23ms, mfu 0.03%
iter 44: loss 2.6570, time 504.15ms, mfu 0.03%
iter 45: loss 2.6184, time 520.91ms, mfu 0.03%
iter 46: loss 2.6578, time 476.81ms, mfu 0.03%
iter 47: loss 2.6146, time 478.43ms, mfu 0.03%
iter 48: loss 2.6495, time 486.65ms, mfu 0.03%
iter 49: loss 2.6456, time 687.57ms, mfu 0.03%
iter 50: loss 2.5912, time 481.18ms, mfu 0.03%
iter 51: loss 2.5683, time 454.04ms, mfu 0.03%
iter 52: loss 2.6617, time 471.99ms, mfu 0.03%
iter 53: loss 2.6915, time 452.70ms, mfu 0.03%
iter 54: loss 2.6774, time 531.59ms, mfu 0.03%
iter 55: loss 2.6811, time 447.73ms, mfu 0.03%
iter 56: loss 2.6706, time 438.52ms, mfu 0.03%
