Overriding config with config/train_shakespeare_char.py:
# train a miniature character-level shakespeare model
# good for debugging and playing on macbooks and such

out_dir = 'out-shakespeare-char'
eval_interval = 250 # keep frequent because we'll overfit
eval_iters = 200
log_interval = 10 # don't print too too often

# we expect to overfit on this small dataset, so only save when val improves
always_save_checkpoint = False

wandb_log = False # override via command line if you like
wandb_project = 'shakespeare-char'
wandb_run_name = 'mini-gpt'

dataset = 'shakespeare_char'
gradient_accumulation_steps = 1
batch_size = 64
block_size = 256 # context of up to 256 previous characters

# baby GPT model :)
n_layer = 6
n_head = 6
n_embd = 384
dropout = 0.2

learning_rate = 1e-3 # with baby networks can afford to go a bit higher
max_iters = 5000
lr_decay_iters = 5000 # make equal to max_iters usually
min_lr = 1e-4 # learning_rate / 10 usually
beta2 = 0.99 # make a bit bigger because number of tokens per iter is small

warmup_iters = 100 # not super necessary potentially

# on macbook also add
# device = 'cpu'  # run on cpu only
# compile = False # do not torch compile the model

Overriding: device = cpu
Overriding: compile = False
Overriding: eval_iters = 20
Overriding: log_interval = 1
Overriding: block_size = 64
Overriding: batch_size = 12
Overriding: dropout = 0.0
Overriding: optimizer = dimerAdamW
Overriding: max_iters = 20000
Overriding: lr_decay_iters = 20000
tokens per iteration will be: 768
found vocab_size = 65 (inside data/shakespeare_char/meta.pkl)
Initializing a new model from scratch
number of parameters: 10.65M
step 0: train loss 4.3265, val loss 4.3090
iter 0: loss 4.2876, time 4665.36ms, mfu -100.00%
iter 1: loss 4.1179, time 512.48ms, mfu -100.00%
iter 2: loss 3.8506, time 480.77ms, mfu -100.00%
iter 3: loss 3.6473, time 462.35ms, mfu -100.00%
iter 4: loss 3.4355, time 503.31ms, mfu -100.00%
iter 5: loss 3.3791, time 479.19ms, mfu 0.03%
iter 6: loss 3.3405, time 491.15ms, mfu 0.03%
iter 7: loss 3.2805, time 454.45ms, mfu 0.03%
iter 8: loss 3.2926, time 534.35ms, mfu 0.03%
iter 9: loss 3.2365, time 727.68ms, mfu 0.03%
iter 10: loss 3.1512, time 476.13ms, mfu 0.03%
iter 11: loss 3.1231, time 448.12ms, mfu 0.03%
iter 12: loss 3.2516, time 461.76ms, mfu 0.03%
iter 13: loss 3.0197, time 413.26ms, mfu 0.03%
iter 14: loss 3.0210, time 456.44ms, mfu 0.03%
iter 15: loss 2.9742, time 457.62ms, mfu 0.03%
iter 16: loss 2.9397, time 446.86ms, mfu 0.03%
iter 17: loss 2.9577, time 496.62ms, mfu 0.03%
iter 18: loss 2.8385, time 482.63ms, mfu 0.03%
iter 19: loss 2.7926, time 658.37ms, mfu 0.03%
iter 20: loss 2.8626, time 466.91ms, mfu 0.03%
iter 21: loss 2.7556, time 462.33ms, mfu 0.03%
iter 22: loss 2.7888, time 406.74ms, mfu 0.03%
iter 23: loss 2.7090, time 508.46ms, mfu 0.03%
iter 24: loss 2.8104, time 455.00ms, mfu 0.03%
iter 25: loss 2.6024, time 503.69ms, mfu 0.03%
iter 26: loss 2.6343, time 515.16ms, mfu 0.03%
iter 27: loss 2.7004, time 451.81ms, mfu 0.03%
iter 28: loss 2.7407, time 401.69ms, mfu 0.03%
iter 29: loss 2.7395, time 665.37ms, mfu 0.03%
iter 30: loss 2.6811, time 457.13ms, mfu 0.03%
iter 31: loss 2.6449, time 525.48ms, mfu 0.03%
iter 32: loss 2.6285, time 429.92ms, mfu 0.03%
iter 33: loss 2.7120, time 464.68ms, mfu 0.03%
iter 34: loss 2.7059, time 476.47ms, mfu 0.03%
iter 35: loss 2.6364, time 420.14ms, mfu 0.03%
iter 36: loss 2.7027, time 458.25ms, mfu 0.03%
iter 37: loss 2.6226, time 413.25ms, mfu 0.03%
iter 38: loss 2.6964, time 438.73ms, mfu 0.04%
iter 39: loss 2.6129, time 709.45ms, mfu 0.03%
iter 40: loss 2.6170, time 476.70ms, mfu 0.03%
iter 41: loss 2.7000, time 500.47ms, mfu 0.03%
iter 42: loss 2.6616, time 421.45ms, mfu 0.03%
iter 43: loss 2.5988, time 466.86ms, mfu 0.03%
iter 44: loss 2.6572, time 493.71ms, mfu 0.03%
iter 45: loss 2.6186, time 456.49ms, mfu 0.03%
iter 46: loss 2.6579, time 461.91ms, mfu 0.03%
iter 47: loss 2.6147, time 470.95ms, mfu 0.03%
iter 48: loss 2.6497, time 502.91ms, mfu 0.03%
iter 49: loss 2.6458, time 725.87ms, mfu 0.03%
iter 50: loss 2.5915, time 457.16ms, mfu 0.03%
iter 51: loss 2.5684, time 421.28ms, mfu 0.03%
iter 52: loss 2.6619, time 522.77ms, mfu 0.03%
iter 53: loss 2.6917, time 456.86ms, mfu 0.03%
iter 54: loss 2.6774, time 464.71ms, mfu 0.03%
iter 55: loss 2.6812, time 385.70ms, mfu 0.03%
iter 56: loss 2.6708, time 468.84ms, mfu 0.03%
iter 57: loss 2.6222, time 469.31ms, mfu 0.03%
iter 58: loss 2.5501, time 527.00ms, mfu 0.03%
iter 59: loss 2.5497, time 772.71ms, mfu 0.03%
iter 60: loss 2.5661, time 445.47ms, mfu 0.03%
iter 61: loss 2.5843, time 474.92ms, mfu 0.03%
iter 62: loss 2.5934, time 422.30ms, mfu 0.03%
iter 63: loss 2.5359, time 445.59ms, mfu 0.03%
iter 64: loss 2.5477, time 439.24ms, mfu 0.03%
iter 65: loss 2.5071, time 464.45ms, mfu 0.03%
iter 66: loss 2.6533, time 485.59ms, mfu 0.03%
iter 67: loss 2.5804, time 450.51ms, mfu 0.03%
iter 68: loss 2.5827, time 446.73ms, mfu 0.03%
iter 69: loss 2.6099, time 701.23ms, mfu 0.03%
iter 70: loss 2.6399, time 478.84ms, mfu 0.03%
iter 71: loss 2.6124, time 483.30ms, mfu 0.03%
iter 72: loss 2.5767, time 456.17ms, mfu 0.03%
iter 73: loss 2.6192, time 451.26ms, mfu 0.03%
iter 74: loss 2.5342, time 470.82ms, mfu 0.03%
iter 75: loss 2.5558, time 450.41ms, mfu 0.03%
iter 76: loss 2.6075, time 463.51ms, mfu 0.03%
iter 77: loss 2.5547, time 479.68ms, mfu 0.03%
iter 78: loss 2.6502, time 424.09ms, mfu 0.03%
iter 79: loss 2.6148, time 703.92ms, mfu 0.03%
iter 80: loss 2.5705, time 507.89ms, mfu 0.03%
iter 81: loss 2.5942, time 478.67ms, mfu 0.03%
iter 82: loss 2.4744, time 461.95ms, mfu 0.03%
iter 83: loss 2.5403, time 481.67ms, mfu 0.03%
iter 84: loss 2.5685, time 471.27ms, mfu 0.03%
iter 85: loss 2.4870, time 485.68ms, mfu 0.03%
iter 86: loss 2.5340, time 469.03ms, mfu 0.03%
iter 87: loss 2.5218, time 469.49ms, mfu 0.03%
iter 88: loss 2.5198, time 435.31ms, mfu 0.03%
iter 89: loss 2.6480, time 736.27ms, mfu 0.03%
iter 90: loss 2.5231, time 501.78ms, mfu 0.03%
iter 91: loss 2.6334, time 492.43ms, mfu 0.03%
iter 92: loss 2.6383, time 491.20ms, mfu 0.03%
iter 93: loss 2.5684, time 512.93ms, mfu 0.03%
iter 94: loss 2.5730, time 435.38ms, mfu 0.03%
iter 95: loss 2.5964, time 454.52ms, mfu 0.03%
iter 96: loss 2.5065, time 482.28ms, mfu 0.03%
iter 97: loss 2.5313, time 466.88ms, mfu 0.03%
iter 98: loss 2.5707, time 482.27ms, mfu 0.03%
iter 99: loss 2.5991, time 689.19ms, mfu 0.03%
iter 100: loss 2.5624, time 451.56ms, mfu 0.03%
iter 101: loss 2.5500, time 443.36ms, mfu 0.03%
iter 102: loss 2.5310, time 458.36ms, mfu 0.03%
iter 103: loss 2.5670, time 469.17ms, mfu 0.03%
iter 104: loss 2.4900, time 471.45ms, mfu 0.03%
iter 105: loss 2.5510, time 512.49ms, mfu 0.03%
iter 106: loss 2.5033, time 542.00ms, mfu 0.03%
iter 107: loss 2.5275, time 524.23ms, mfu 0.03%
iter 108: loss 2.4940, time 433.36ms, mfu 0.03%
iter 109: loss 2.5689, time 729.84ms, mfu 0.03%
iter 110: loss 2.5917, time 464.09ms, mfu 0.03%
iter 111: loss 2.5724, time 457.02ms, mfu 0.03%
iter 112: loss 2.5493, time 501.88ms, mfu 0.03%
iter 113: loss 2.5551, time 461.54ms, mfu 0.03%
iter 114: loss 2.4935, time 550.40ms, mfu 0.03%
iter 115: loss 2.4642, time 482.59ms, mfu 0.03%
iter 116: loss 2.5507, time 457.96ms, mfu 0.03%
iter 117: loss 2.5071, time 480.32ms, mfu 0.03%
iter 118: loss 2.5350, time 448.63ms, mfu 0.03%
iter 119: loss 2.5380, time 674.54ms, mfu 0.03%
iter 120: loss 2.4567, time 505.74ms, mfu 0.03%
iter 121: loss 2.4672, time 435.70ms, mfu 0.03%
iter 122: loss 2.4274, time 471.53ms, mfu 0.03%
iter 123: loss 2.3704, time 435.92ms, mfu 0.03%
iter 124: loss 2.4647, time 517.72ms, mfu 0.03%
iter 125: loss 2.4564, time 511.34ms, mfu 0.03%
iter 126: loss 2.5177, time 441.41ms, mfu 0.03%
iter 127: loss 2.5449, time 435.87ms, mfu 0.03%
iter 128: loss 2.4559, time 496.06ms, mfu 0.03%
iter 129: loss 2.4737, time 667.48ms, mfu 0.03%
iter 130: loss 2.3996, time 475.42ms, mfu 0.03%
iter 131: loss 2.4975, time 448.55ms, mfu 0.03%
iter 132: loss 2.4207, time 431.66ms, mfu 0.03%
iter 133: loss 2.4576, time 467.92ms, mfu 0.03%
iter 134: loss 2.4261, time 504.13ms, mfu 0.03%
iter 135: loss 2.4349, time 477.06ms, mfu 0.03%
iter 136: loss 2.5367, time 484.38ms, mfu 0.03%
iter 137: loss 2.4247, time 496.35ms, mfu 0.03%
iter 138: loss 2.5539, time 447.73ms, mfu 0.03%
iter 139: loss 2.4539, time 766.00ms, mfu 0.03%
iter 140: loss 2.4088, time 485.52ms, mfu 0.03%
iter 141: loss 2.4126, time 523.15ms, mfu 0.03%
iter 142: loss 2.5336, time 504.29ms, mfu 0.03%
iter 143: loss 2.4646, time 535.11ms, mfu 0.03%
iter 144: loss 2.4825, time 424.83ms, mfu 0.03%
iter 145: loss 2.4050, time 512.97ms, mfu 0.03%
iter 146: loss 2.3610, time 463.08ms, mfu 0.03%
iter 147: loss 2.3620, time 448.76ms, mfu 0.03%
iter 148: loss 2.3811, time 423.33ms, mfu 0.03%
iter 149: loss 2.3645, time 733.95ms, mfu 0.03%
iter 150: loss 2.4420, time 476.88ms, mfu 0.03%
iter 151: loss 2.5222, time 463.91ms, mfu 0.03%
iter 152: loss 2.3605, time 446.68ms, mfu 0.03%
iter 153: loss 2.4025, time 495.59ms, mfu 0.03%
iter 154: loss 2.4011, time 481.29ms, mfu 0.03%
iter 155: loss 2.4227, time 512.92ms, mfu 0.03%
iter 156: loss 2.3721, time 504.89ms, mfu 0.03%
iter 157: loss 2.4111, time 439.66ms, mfu 0.03%
iter 158: loss 2.2877, time 464.56ms, mfu 0.03%
iter 159: loss 2.3488, time 717.30ms, mfu 0.03%
iter 160: loss 2.2991, time 491.99ms, mfu 0.03%
iter 161: loss 2.3467, time 472.31ms, mfu 0.03%
iter 162: loss 2.4235, time 490.61ms, mfu 0.03%
iter 163: loss 2.4035, time 410.26ms, mfu 0.03%
iter 164: loss 2.4470, time 478.69ms, mfu 0.03%
iter 165: loss 2.2497, time 456.08ms, mfu 0.03%
iter 166: loss 2.2594, time 494.13ms, mfu 0.03%
iter 167: loss 2.3552, time 554.27ms, mfu 0.03%
iter 168: loss 2.4779, time 498.12ms, mfu 0.03%
iter 169: loss 2.5141, time 671.92ms, mfu 0.03%
iter 170: loss 2.3832, time 464.93ms, mfu 0.03%
iter 171: loss 2.4192, time 514.03ms, mfu 0.03%
iter 172: loss 2.3822, time 441.74ms, mfu 0.03%
iter 173: loss 2.3304, time 456.95ms, mfu 0.03%
iter 174: loss 2.3423, time 431.59ms, mfu 0.03%
iter 175: loss 2.3499, time 364.99ms, mfu 0.03%
iter 176: loss 2.3705, time 485.94ms, mfu 0.03%
iter 177: loss 2.3749, time 482.21ms, mfu 0.03%
iter 178: loss 2.3396, time 508.39ms, mfu 0.03%
iter 179: loss 2.3206, time 641.37ms, mfu 0.03%
iter 180: loss 2.3739, time 493.32ms, mfu 0.03%
iter 181: loss 2.3446, time 515.49ms, mfu 0.03%
iter 182: loss 2.3731, time 464.92ms, mfu 0.03%
iter 183: loss 2.3294, time 440.29ms, mfu 0.03%
iter 184: loss 2.3104, time 402.90ms, mfu 0.03%
iter 185: loss 2.4605, time 472.74ms, mfu 0.03%
iter 186: loss 2.2925, time 489.16ms, mfu 0.03%
iter 187: loss 2.4435, time 475.38ms, mfu 0.03%
iter 188: loss 2.3422, time 492.08ms, mfu 0.03%
iter 189: loss 2.3317, time 710.87ms, mfu 0.03%
iter 190: loss 2.3495, time 482.97ms, mfu 0.03%
iter 191: loss 2.3850, time 453.96ms, mfu 0.03%
iter 192: loss 2.4171, time 434.49ms, mfu 0.03%
iter 193: loss 2.2405, time 506.93ms, mfu 0.03%
iter 194: loss 2.4553, time 485.61ms, mfu 0.03%
iter 195: loss 2.2596, time 494.16ms, mfu 0.03%
iter 196: loss 2.3242, time 463.36ms, mfu 0.03%
iter 197: loss 2.3041, time 454.98ms, mfu 0.03%
iter 198: loss 2.2470, time 450.57ms, mfu 0.03%
iter 199: loss 2.2664, time 733.08ms, mfu 0.03%
iter 200: loss 2.2759, time 460.12ms, mfu 0.03%
iter 201: loss 2.3358, time 490.38ms, mfu 0.03%
iter 202: loss 2.3848, time 441.94ms, mfu 0.03%
iter 203: loss 2.2811, time 431.72ms, mfu 0.03%
iter 204: loss 2.4261, time 511.22ms, mfu 0.03%
iter 205: loss 2.3723, time 480.44ms, mfu 0.03%
iter 206: loss 2.2291, time 443.01ms, mfu 0.03%
iter 207: loss 2.3941, time 439.89ms, mfu 0.03%
iter 208: loss 2.2411, time 491.53ms, mfu 0.03%
iter 209: loss 2.3015, time 691.74ms, mfu 0.03%
iter 210: loss 2.3786, time 453.96ms, mfu 0.03%
iter 211: loss 2.2554, time 392.68ms, mfu 0.03%
iter 212: loss 2.3011, time 466.14ms, mfu 0.03%
iter 213: loss 2.2729, time 512.93ms, mfu 0.03%
iter 214: loss 2.3220, time 446.52ms, mfu 0.03%
iter 215: loss 2.2988, time 484.11ms, mfu 0.03%
iter 216: loss 2.3312, time 423.24ms, mfu 0.03%
iter 217: loss 2.2284, time 450.76ms, mfu 0.03%
iter 218: loss 2.3396, time 460.86ms, mfu 0.03%
iter 219: loss 2.2826, time 690.75ms, mfu 0.03%
iter 220: loss 2.3469, time 495.69ms, mfu 0.03%
iter 221: loss 2.3545, time 513.11ms, mfu 0.03%
iter 222: loss 2.3795, time 485.92ms, mfu 0.03%
iter 223: loss 2.2129, time 483.69ms, mfu 0.03%
iter 224: loss 2.2888, time 439.09ms, mfu 0.03%
iter 225: loss 2.3776, time 499.20ms, mfu 0.03%
iter 226: loss 2.4108, time 467.40ms, mfu 0.03%
iter 227: loss 2.2770, time 498.06ms, mfu 0.03%
iter 228: loss 2.3587, time 475.06ms, mfu 0.03%
iter 229: loss 2.2641, time 702.13ms, mfu 0.03%
iter 230: loss 2.3064, time 455.71ms, mfu 0.03%
iter 231: loss 2.2299, time 527.90ms, mfu 0.03%
iter 232: loss 2.2755, time 477.11ms, mfu 0.03%
iter 233: loss 2.2588, time 493.60ms, mfu 0.03%
iter 234: loss 2.3083, time 518.32ms, mfu 0.03%
iter 235: loss 2.3207, time 474.93ms, mfu 0.03%
iter 236: loss 2.3768, time 446.36ms, mfu 0.03%
iter 237: loss 2.2501, time 504.34ms, mfu 0.03%
iter 238: loss 2.3201, time 475.00ms, mfu 0.03%
iter 239: loss 2.2023, time 751.52ms, mfu 0.03%
iter 240: loss 2.2471, time 458.31ms, mfu 0.03%
iter 241: loss 2.2754, time 474.44ms, mfu 0.03%
iter 242: loss 2.2161, time 434.61ms, mfu 0.03%
iter 243: loss 2.2510, time 489.19ms, mfu 0.03%
iter 244: loss 2.3064, time 435.09ms, mfu 0.03%
iter 245: loss 2.3393, time 481.14ms, mfu 0.03%
iter 246: loss 2.2609, time 489.56ms, mfu 0.03%
iter 247: loss 2.2910, time 450.18ms, mfu 0.03%
iter 248: loss 2.2587, time 422.41ms, mfu 0.03%
iter 249: loss 2.3182, time 701.79ms, mfu 0.03%
step 250: train loss 2.2424, val loss 2.2757
saving checkpoint to out-shakespeare-char
iter 250: loss 2.3411, time 4947.47ms, mfu 0.03%
iter 251: loss 2.2186, time 504.65ms, mfu 0.03%
iter 252: loss 2.2855, time 446.10ms, mfu 0.03%
iter 253: loss 2.2341, time 456.53ms, mfu 0.03%
iter 254: loss 2.2809, time 461.33ms, mfu 0.03%
iter 255: loss 2.3112, time 521.33ms, mfu 0.03%
iter 256: loss 2.1849, time 485.66ms, mfu 0.03%
iter 257: loss 2.1700, time 493.61ms, mfu 0.03%
iter 258: loss 2.3194, time 441.63ms, mfu 0.03%
iter 259: loss 2.2758, time 655.04ms, mfu 0.03%
iter 260: loss 2.2130, time 501.73ms, mfu 0.03%
iter 261: loss 2.3055, time 435.26ms, mfu 0.03%
iter 262: loss 2.2534, time 462.52ms, mfu 0.03%
iter 263: loss 2.1357, time 442.64ms, mfu 0.03%
iter 264: loss 2.2623, time 437.78ms, mfu 0.03%
iter 265: loss 2.1573, time 455.77ms, mfu 0.03%
iter 266: loss 2.2874, time 453.80ms, mfu 0.03%
iter 267: loss 2.4399, time 441.22ms, mfu 0.03%
iter 268: loss 2.2004, time 477.96ms, mfu 0.03%
iter 269: loss 2.1839, time 693.26ms, mfu 0.03%
