Overriding config with config/train_shakespeare_char.py:
# train a miniature character-level shakespeare model
# good for debugging and playing on macbooks and such

out_dir = 'out-shakespeare-char'
eval_interval = 250 # keep frequent because we'll overfit
eval_iters = 200
log_interval = 10 # don't print too too often

# we expect to overfit on this small dataset, so only save when val improves
always_save_checkpoint = False

wandb_log = False # override via command line if you like
wandb_project = 'shakespeare-char'
wandb_run_name = 'mini-gpt'

dataset = 'shakespeare_char'
gradient_accumulation_steps = 1
batch_size = 64
block_size = 256 # context of up to 256 previous characters

# baby GPT model :)
n_layer = 6
n_head = 6
n_embd = 384
dropout = 0.2

learning_rate = 1e-3 # with baby networks can afford to go a bit higher
max_iters = 5000
lr_decay_iters = 5000 # make equal to max_iters usually
min_lr = 1e-4 # learning_rate / 10 usually
beta2 = 0.99 # make a bit bigger because number of tokens per iter is small

warmup_iters = 100 # not super necessary potentially

# on macbook also add
# device = 'cpu'  # run on cpu only
# compile = False # do not torch compile the model

Overriding: device = cpu
Overriding: compile = False
Overriding: eval_iters = 20
Overriding: log_interval = 1
Overriding: block_size = 64
Overriding: batch_size = 12
Overriding: dropout = 0.0
Overriding: optimizer = dimerSgd
Overriding: max_iters = 20000
Overriding: lr_decay_iters = 20000
tokens per iteration will be: 768
found vocab_size = 65 (inside data/shakespeare_char/meta.pkl)
Initializing a new model from scratch
number of parameters: 10.65M
step 0: train loss 4.3265, val loss 4.3090
iter 0: loss 4.2876, time 4449.23ms, mfu -100.00%
iter 1: loss 4.3177, time 421.18ms, mfu -100.00%
iter 2: loss 4.3547, time 384.89ms, mfu -100.00%
iter 3: loss 4.2826, time 414.15ms, mfu -100.00%
iter 4: loss 4.3237, time 413.29ms, mfu -100.00%
iter 5: loss 4.3469, time 398.45ms, mfu 0.04%
iter 6: loss 4.3145, time 411.12ms, mfu 0.04%
iter 7: loss 4.2984, time 406.80ms, mfu 0.04%
iter 8: loss 4.3427, time 403.89ms, mfu 0.04%
iter 9: loss 4.3438, time 583.09ms, mfu 0.04%
iter 10: loss 4.3257, time 383.04ms, mfu 0.04%
iter 11: loss 4.3018, time 408.31ms, mfu 0.04%
iter 12: loss 4.2755, time 417.96ms, mfu 0.04%
iter 13: loss 4.3350, time 355.02ms, mfu 0.04%
iter 14: loss 4.3061, time 388.38ms, mfu 0.04%
iter 15: loss 4.3325, time 408.35ms, mfu 0.04%
iter 16: loss 4.3115, time 387.09ms, mfu 0.04%
iter 17: loss 4.2744, time 406.98ms, mfu 0.04%
iter 18: loss 4.3031, time 426.34ms, mfu 0.04%
iter 19: loss 4.2846, time 598.28ms, mfu 0.04%
iter 20: loss 4.3053, time 411.71ms, mfu 0.04%
iter 21: loss 4.2985, time 363.58ms, mfu 0.04%
iter 22: loss 4.3170, time 364.64ms, mfu 0.04%
iter 23: loss 4.2896, time 399.49ms, mfu 0.04%
iter 24: loss 4.3068, time 409.31ms, mfu 0.04%
iter 25: loss 4.2699, time 343.78ms, mfu 0.04%
iter 26: loss 4.2857, time 354.69ms, mfu 0.04%
iter 27: loss 4.3034, time 352.51ms, mfu 0.04%
iter 28: loss 4.2557, time 448.75ms, mfu 0.04%
iter 29: loss 4.2676, time 605.94ms, mfu 0.04%
iter 30: loss 4.2424, time 429.55ms, mfu 0.04%
iter 31: loss 4.2884, time 390.13ms, mfu 0.04%
iter 32: loss 4.2476, time 417.25ms, mfu 0.04%
iter 33: loss 4.2866, time 406.64ms, mfu 0.04%
iter 34: loss 4.2230, time 350.75ms, mfu 0.04%
iter 35: loss 4.2461, time 363.54ms, mfu 0.04%
iter 36: loss 4.2321, time 359.10ms, mfu 0.04%
iter 37: loss 4.2427, time 414.28ms, mfu 0.04%
