Overriding config with config/train_shakespeare_char.py:
# train a miniature character-level shakespeare model
# good for debugging and playing on macbooks and such

out_dir = 'out-shakespeare-char'
eval_interval = 250 # keep frequent because we'll overfit
eval_iters = 200
log_interval = 10 # don't print too too often

# we expect to overfit on this small dataset, so only save when val improves
always_save_checkpoint = False

wandb_log = False # override via command line if you like
wandb_project = 'shakespeare-char'
wandb_run_name = 'mini-gpt'

dataset = 'shakespeare_char'
gradient_accumulation_steps = 1
batch_size = 64
block_size = 256 # context of up to 256 previous characters

# baby GPT model :)
n_layer = 6
n_head = 6
n_embd = 384
dropout = 0.2

learning_rate = 1e-3 # with baby networks can afford to go a bit higher
max_iters = 5000
lr_decay_iters = 5000 # make equal to max_iters usually
min_lr = 1e-4 # learning_rate / 10 usually
beta2 = 0.99 # make a bit bigger because number of tokens per iter is small

warmup_iters = 100 # not super necessary potentially

# on macbook also add
# device = 'cpu'  # run on cpu only
# compile = False # do not torch compile the model

Overriding: device = cpu
Overriding: compile = False
Overriding: eval_iters = 20
Overriding: log_interval = 1
Overriding: block_size = 64
Overriding: batch_size = 12
Overriding: dropout = 0.0
Overriding: optimizer = dimer
Overriding: max_iters = 20000
Overriding: lr_decay_iters = 20000
tokens per iteration will be: 768
found vocab_size = 65 (inside data/shakespeare_char/meta.pkl)
Initializing a new model from scratch
number of parameters: 10.65M
step 0: train loss 4.3265, val loss 4.3090
iter 0: loss 4.2876, time 4750.81ms, mfu -100.00%
iter 1: loss 4.1174, time 499.52ms, mfu -100.00%
iter 2: loss 3.8390, time 576.05ms, mfu -100.00%
iter 3: loss 3.6343, time 554.48ms, mfu -100.00%
iter 4: loss 3.4112, time 503.93ms, mfu -100.00%
iter 5: loss 3.3516, time 508.58ms, mfu 0.03%
iter 6: loss 3.3219, time 476.47ms, mfu 0.03%
iter 7: loss 3.2592, time 530.14ms, mfu 0.03%
iter 8: loss 3.2554, time 500.42ms, mfu 0.03%
iter 9: loss 3.3952, time 712.00ms, mfu 0.03%
iter 10: loss 3.1640, time 536.80ms, mfu 0.03%
iter 11: loss 3.1417, time 474.63ms, mfu 0.03%
iter 12: loss 3.3612, time 523.60ms, mfu 0.03%
iter 13: loss 3.0471, time 450.46ms, mfu 0.03%
iter 14: loss 2.9883, time 467.99ms, mfu 0.03%
iter 15: loss 2.9496, time 520.67ms, mfu 0.03%
iter 16: loss 2.8824, time 544.02ms, mfu 0.03%
iter 17: loss 2.9783, time 478.14ms, mfu 0.03%
iter 18: loss 2.7908, time 523.80ms, mfu 0.03%
iter 19: loss 2.8069, time 665.97ms, mfu 0.03%
iter 20: loss 2.8005, time 524.09ms, mfu 0.03%
iter 21: loss 2.7333, time 558.14ms, mfu 0.03%
iter 22: loss 2.7903, time 504.76ms, mfu 0.03%
