Overriding config with config/train_shakespeare_char.py:
# train a miniature character-level shakespeare model
# good for debugging and playing on macbooks and such

out_dir = 'out-shakespeare-char'
eval_interval = 250 # keep frequent because we'll overfit
eval_iters = 200
log_interval = 10 # don't print too too often

# we expect to overfit on this small dataset, so only save when val improves
always_save_checkpoint = False

wandb_log = False # override via command line if you like
wandb_project = 'shakespeare-char'
wandb_run_name = 'mini-gpt'

dataset = 'shakespeare_char'
gradient_accumulation_steps = 1
batch_size = 64
block_size = 256 # context of up to 256 previous characters

# baby GPT model :)
n_layer = 6
n_head = 6
n_embd = 384
dropout = 0.2

learning_rate = 1e-3 # with baby networks can afford to go a bit higher
max_iters = 5000
lr_decay_iters = 5000 # make equal to max_iters usually
min_lr = 1e-4 # learning_rate / 10 usually
beta2 = 0.99 # make a bit bigger because number of tokens per iter is small

warmup_iters = 100 # not super necessary potentially

# on macbook also add
# device = 'cpu'  # run on cpu only
# compile = False # do not torch compile the model

Overriding: device = cpu
Overriding: compile = False
Overriding: eval_iters = 20
Overriding: log_interval = 1
Overriding: block_size = 64
Overriding: batch_size = 12
Overriding: dropout = 0.0
Overriding: optimizer = sgd
Overriding: max_iters = 20000
Overriding: lr_decay_iters = 20000
tokens per iteration will be: 768
found vocab_size = 65 (inside data/shakespeare_char/meta.pkl)
Initializing a new model from scratch
number of parameters: 10.65M
num decayed parameter tensors: 26, with 10,666,368 parameters
num non-decayed parameter tensors: 13, with 4,992 parameters
step 0: train loss 4.3219, val loss 4.3089
iter 0: loss 4.3400, time 4523.53ms, mfu -100.00%
iter 1: loss 4.3312, time 370.11ms, mfu -100.00%
iter 2: loss 4.3257, time 335.54ms, mfu -100.00%
iter 3: loss 4.3224, time 309.66ms, mfu -100.00%
iter 4: loss 4.3267, time 337.78ms, mfu -100.00%
iter 5: loss 4.3265, time 320.59ms, mfu 0.05%
iter 6: loss 4.3083, time 315.13ms, mfu 0.05%
iter 7: loss 4.3480, time 297.67ms, mfu 0.05%
iter 8: loss 4.2801, time 307.54ms, mfu 0.05%
iter 9: loss 4.3235, time 275.75ms, mfu 0.05%
iter 10: loss 4.3128, time 287.49ms, mfu 0.05%
iter 11: loss 4.2799, time 287.55ms, mfu 0.05%
iter 12: loss 4.3150, time 301.05ms, mfu 0.05%
iter 13: loss 4.3327, time 322.62ms, mfu 0.05%
iter 14: loss 4.2917, time 261.10ms, mfu 0.05%
iter 15: loss 4.2995, time 283.64ms, mfu 0.05%
iter 16: loss 4.2984, time 274.87ms, mfu 0.05%
iter 17: loss 4.3030, time 316.08ms, mfu 0.05%
iter 18: loss 4.3234, time 296.89ms, mfu 0.05%
iter 19: loss 4.3249, time 298.85ms, mfu 0.05%
iter 20: loss 4.2945, time 327.51ms, mfu 0.05%
iter 21: loss 4.2921, time 315.08ms, mfu 0.05%
iter 22: loss 4.2862, time 325.59ms, mfu 0.05%
iter 23: loss 4.2738, time 294.38ms, mfu 0.05%
iter 24: loss 4.2911, time 304.35ms, mfu 0.05%
iter 25: loss 4.2680, time 317.54ms, mfu 0.05%
iter 26: loss 4.2892, time 300.51ms, mfu 0.05%
iter 27: loss 4.2638, time 274.95ms, mfu 0.05%
iter 28: loss 4.2766, time 320.98ms, mfu 0.05%
iter 29: loss 4.2443, time 301.98ms, mfu 0.05%
iter 30: loss 4.2484, time 317.48ms, mfu 0.05%
iter 31: loss 4.2426, time 337.66ms, mfu 0.05%
iter 32: loss 4.2491, time 332.60ms, mfu 0.05%
iter 33: loss 4.2418, time 274.42ms, mfu 0.05%
iter 34: loss 4.2482, time 263.38ms, mfu 0.05%
iter 35: loss 4.2506, time 329.58ms, mfu 0.05%
iter 36: loss 4.2406, time 260.86ms, mfu 0.05%
iter 37: loss 4.2220, time 273.10ms, mfu 0.05%
iter 38: loss 4.2102, time 286.82ms, mfu 0.05%
iter 39: loss 4.1998, time 303.04ms, mfu 0.05%
iter 40: loss 4.1904, time 362.63ms, mfu 0.05%
iter 41: loss 4.2106, time 301.93ms, mfu 0.05%
iter 42: loss 4.2004, time 322.51ms, mfu 0.05%
iter 43: loss 4.2052, time 346.64ms, mfu 0.05%
iter 44: loss 4.2036, time 281.67ms, mfu 0.05%
iter 45: loss 4.1980, time 313.99ms, mfu 0.05%
iter 46: loss 4.1374, time 312.79ms, mfu 0.05%
iter 47: loss 4.1424, time 319.40ms, mfu 0.05%
iter 48: loss 4.1699, time 310.16ms, mfu 0.05%
iter 49: loss 4.1598, time 308.49ms, mfu 0.05%
iter 50: loss 4.1543, time 347.99ms, mfu 0.05%
iter 51: loss 4.1716, time 281.67ms, mfu 0.05%
iter 52: loss 4.1496, time 315.25ms, mfu 0.05%
iter 53: loss 4.1397, time 302.43ms, mfu 0.05%
iter 54: loss 4.1472, time 311.50ms, mfu 0.05%
iter 55: loss 4.1051, time 327.25ms, mfu 0.05%
iter 56: loss 4.1212, time 294.92ms, mfu 0.05%
iter 57: loss 4.0930, time 353.23ms, mfu 0.05%
iter 58: loss 4.0923, time 291.58ms, mfu 0.05%
iter 59: loss 4.0857, time 295.53ms, mfu 0.05%
iter 60: loss 4.0645, time 320.07ms, mfu 0.05%
iter 61: loss 4.0647, time 383.48ms, mfu 0.05%
iter 62: loss 4.0849, time 301.90ms, mfu 0.05%
iter 63: loss 4.0646, time 283.02ms, mfu 0.05%
iter 64: loss 4.0520, time 316.48ms, mfu 0.05%
iter 65: loss 4.0463, time 301.03ms, mfu 0.05%
iter 66: loss 4.0206, time 337.26ms, mfu 0.05%
iter 67: loss 3.9952, time 284.48ms, mfu 0.05%
iter 68: loss 4.0400, time 288.64ms, mfu 0.05%
iter 69: loss 4.0480, time 322.05ms, mfu 0.05%
iter 70: loss 4.0219, time 297.59ms, mfu 0.05%
iter 71: loss 3.9869, time 313.78ms, mfu 0.05%
iter 72: loss 3.9673, time 338.86ms, mfu 0.05%
iter 73: loss 3.9784, time 312.53ms, mfu 0.05%
iter 74: loss 3.9475, time 305.48ms, mfu 0.05%
iter 75: loss 3.9787, time 350.16ms, mfu 0.05%
iter 76: loss 3.9864, time 310.44ms, mfu 0.05%
iter 77: loss 3.9332, time 269.52ms, mfu 0.05%
iter 78: loss 3.9198, time 306.13ms, mfu 0.05%
iter 79: loss 3.9534, time 279.23ms, mfu 0.05%
iter 80: loss 3.9604, time 296.47ms, mfu 0.05%
iter 81: loss 3.9090, time 329.94ms, mfu 0.05%
iter 82: loss 3.9372, time 318.41ms, mfu 0.05%
iter 83: loss 3.9138, time 317.19ms, mfu 0.05%
iter 84: loss 3.8657, time 298.19ms, mfu 0.05%
iter 85: loss 3.8731, time 312.24ms, mfu 0.05%
iter 86: loss 3.8791, time 327.59ms, mfu 0.05%
iter 87: loss 3.8662, time 328.39ms, mfu 0.05%
iter 88: loss 3.8450, time 295.95ms, mfu 0.05%
