Overriding config with config/train_shakespeare_char.py:
# train a miniature character-level shakespeare model
# good for debugging and playing on macbooks and such

out_dir = 'out-shakespeare-char'
eval_interval = 250 # keep frequent because we'll overfit
eval_iters = 200
log_interval = 10 # don't print too too often

# we expect to overfit on this small dataset, so only save when val improves
always_save_checkpoint = False

wandb_log = False # override via command line if you like
wandb_project = 'shakespeare-char'
wandb_run_name = 'mini-gpt'

dataset = 'shakespeare_char'
gradient_accumulation_steps = 1
batch_size = 64
block_size = 256 # context of up to 256 previous characters

# baby GPT model :)
n_layer = 6
n_head = 6
n_embd = 384
dropout = 0.2

learning_rate = 1e-3 # with baby networks can afford to go a bit higher
max_iters = 5000
lr_decay_iters = 5000 # make equal to max_iters usually
min_lr = 1e-4 # learning_rate / 10 usually
beta2 = 0.99 # make a bit bigger because number of tokens per iter is small

warmup_iters = 100 # not super necessary potentially

# on macbook also add
# device = 'cpu'  # run on cpu only
# compile = False # do not torch compile the model

Overriding: device = cpu
Overriding: compile = False
Overriding: eval_iters = 20
Overriding: log_interval = 1
Overriding: block_size = 64
Overriding: batch_size = 12
Overriding: dropout = 0.0
Overriding: optimizer = sophia
Overriding: max_iters = 20000
Overriding: lr_decay_iters = 20000
tokens per iteration will be: 768
found vocab_size = 65 (inside data/shakespeare_char/meta.pkl)
Initializing a new model from scratch
number of parameters: 10.65M
num decayed parameter tensors: 26, with 10,666,368 parameters
num non-decayed parameter tensors: 13, with 4,992 parameters
step 0: train loss 4.3219, val loss 4.3089
iter 0: loss 4.3400, time 4555.32ms, mfu -100.00%
iter 1: loss 4.1206, time 446.20ms, mfu -100.00%
iter 2: loss 3.8450, time 392.86ms, mfu -100.00%
iter 3: loss 3.6232, time 348.60ms, mfu -100.00%
iter 4: loss 3.4699, time 413.93ms, mfu -100.00%
iter 5: loss 3.4002, time 398.83ms, mfu 0.04%
iter 6: loss 3.3647, time 377.93ms, mfu 0.04%
iter 7: loss 3.2511, time 365.63ms, mfu 0.04%
iter 8: loss 3.2503, time 393.24ms, mfu 0.04%
iter 9: loss 3.4540, time 359.00ms, mfu 0.04%
iter 10: loss 3.2179, time 393.95ms, mfu 0.04%
iter 11: loss 3.1807, time 409.56ms, mfu 0.04%
iter 12: loss 3.0802, time 397.75ms, mfu 0.04%
iter 13: loss 2.8965, time 434.88ms, mfu 0.04%
iter 14: loss 3.0100, time 406.47ms, mfu 0.04%
iter 15: loss 2.9363, time 346.97ms, mfu 0.04%
iter 16: loss 2.9381, time 407.97ms, mfu 0.04%
iter 17: loss 2.9055, time 393.66ms, mfu 0.04%
iter 18: loss 2.8501, time 419.10ms, mfu 0.04%
iter 19: loss 2.7806, time 414.67ms, mfu 0.04%
iter 20: loss 2.8486, time 411.13ms, mfu 0.04%
iter 21: loss 2.8416, time 367.79ms, mfu 0.04%
iter 22: loss 2.8591, time 424.09ms, mfu 0.04%
